path,label
DATASET/TRAIN/O/O_1.jpg,O
DATASET/TRAIN/O/O_10.jpg,O
DATASET/TRAIN/O/O_100.jpg,O
DATASET/TRAIN/O/O_1000.jpg,O
DATASET/TRAIN/O/O_10000.jpg,O
DATASET/TRAIN/O/O_10001.jpg,O
DATASET/TRAIN/O/O_10002.jpg,O
DATASET/TRAIN/O/O_10003.jpg,O
DATASET/TRAIN/O/O_10004.jpg,O
DATASET/TRAIN/O/O_10005.jpg,O
DATASET/TRAIN/O/O_10006.jpg,O
DATASET/TRAIN/O/O_10007.jpg,O
DATASET/TRAIN/O/O_10008.jpg,O
DATASET/TRAIN/O/O_10009.jpg,O
DATASET/TRAIN/O/O_1001.jpg,O
DATASET/TRAIN/O/O_10010.jpg,O
DATASET/TRAIN/O/O_10011.jpg,O
DATASET/TRAIN/O/O_10012.jpg,O
DATASET/TRAIN/O/O_10013.jpg,O
DATASET/TRAIN/O/O_10014.jpg,O
DATASET/TRAIN/O/O_10015.jpg,O
DATASET/TRAIN/O/O_10016.jpg,O
DATASET/TRAIN/O/O_10017.jpg,O
DATASET/TRAIN/O/O_10018.jpg,O
DATASET/TRAIN/O/O_10019.jpg,O
DATASET/TRAIN/O/O_1002.jpg,O
DATASET/TRAIN/O/O_10020.jpg,O
DATASET/TRAIN/O/O_10021.jpg,O
DATASET/TRAIN/O/O_10022.jpg,O
DATASET/TRAIN/O/O_10023.jpg,O
DATASET/TRAIN/O/O_10024.jpg,O
DATASET/TRAIN/O/O_10025.jpg,O
DATASET/TRAIN/O/O_10026.jpg,O
DATASET/TRAIN/O/O_10027.jpg,O
DATASET/TRAIN/O/O_10028.jpg,O
DATASET/TRAIN/O/O_10029.jpg,O
DATASET/TRAIN/O/O_1003.jpg,O
DATASET/TRAIN/O/O_10030.jpg,O
DATASET/TRAIN/O/O_10031.jpg,O
DATASET/TRAIN/O/O_10032.jpg,O
DATASET/TRAIN/O/O_10033.jpg,O
DATASET/TRAIN/O/O_10034.jpg,O
DATASET/TRAIN/O/O_10035.jpg,O
DATASET/TRAIN/O/O_10036.jpg,O
DATASET/TRAIN/O/O_10037.jpg,O
DATASET/TRAIN/O/O_10038.jpg,O
DATASET/TRAIN/O/O_10039.jpg,O
DATASET/TRAIN/O/O_1004.jpg,O
DATASET/TRAIN/O/O_10040.jpg,O
DATASET/TRAIN/O/O_10041.jpg,O
DATASET/TRAIN/O/O_10042.jpg,O
DATASET/TRAIN/O/O_10043.jpg,O
DATASET/TRAIN/O/O_10044.jpg,O
DATASET/TRAIN/O/O_10045.jpg,O
DATASET/TRAIN/O/O_10046.jpg,O
DATASET/TRAIN/O/O_10047.jpg,O
DATASET/TRAIN/O/O_10048.jpg,O
DATASET/TRAIN/O/O_10049.jpg,O
DATASET/TRAIN/O/O_1005.jpg,O
DATASET/TRAIN/O/O_10050.jpg,O
DATASET/TRAIN/O/O_10051.jpg,O
DATASET/TRAIN/O/O_10052.jpg,O
DATASET/TRAIN/O/O_10053.jpg,O
DATASET/TRAIN/O/O_10054.jpg,O
DATASET/TRAIN/O/O_10055.jpg,O
DATASET/TRAIN/O/O_10056.jpg,O
DATASET/TRAIN/O/O_10057.jpg,O
DATASET/TRAIN/O/O_10058.jpg,O
DATASET/TRAIN/O/O_10059.jpg,O
DATASET/TRAIN/O/O_1006.jpg,O
DATASET/TRAIN/O/O_10060.jpg,O
DATASET/TRAIN/O/O_10061.jpg,O
DATASET/TRAIN/O/O_10062.jpg,O
DATASET/TRAIN/O/O_10063.jpg,O
DATASET/TRAIN/O/O_10064.jpg,O
DATASET/TRAIN/O/O_10065.jpg,O
DATASET/TRAIN/O/O_10066.jpg,O
DATASET/TRAIN/O/O_10067.jpg,O
DATASET/TRAIN/O/O_10068.jpg,O
DATASET/TRAIN/O/O_10069.jpg,O
DATASET/TRAIN/O/O_1007.jpg,O
DATASET/TRAIN/O/O_10070.jpg,O
DATASET/TRAIN/O/O_10071.jpg,O
DATASET/TRAIN/O/O_10072.jpg,O
DATASET/TRAIN/O/O_10073.jpg,O
DATASET/TRAIN/O/O_10074.jpg,O
DATASET/TRAIN/O/O_10075.jpg,O
DATASET/TRAIN/O/O_10076.jpg,O
DATASET/TRAIN/O/O_10077.jpg,O
DATASET/TRAIN/O/O_10078.jpg,O
DATASET/TRAIN/O/O_10079.jpg,O
DATASET/TRAIN/O/O_1008.jpg,O
DATASET/TRAIN/O/O_10080.jpg,O
DATASET/TRAIN/O/O_10081.jpg,O
DATASET/TRAIN/O/O_10082.jpg,O
DATASET/TRAIN/O/O_10083.jpg,O
DATASET/TRAIN/O/O_10084.jpg,O
DATASET/TRAIN/O/O_10085.jpg,O
DATASET/TRAIN/O/O_10086.jpg,O
DATASET/TRAIN/O/O_10087.jpg,O
DATASET/TRAIN/O/O_10088.jpg,O
DATASET/TRAIN/O/O_10089.jpg,O
DATASET/TRAIN/O/O_1009.jpg,O
DATASET/TRAIN/O/O_10090.jpg,O
DATASET/TRAIN/O/O_10091.jpg,O
DATASET/TRAIN/O/O_10092.jpg,O
DATASET/TRAIN/O/O_10093.jpg,O
DATASET/TRAIN/O/O_10094.jpg,O
DATASET/TRAIN/O/O_10095.jpg,O
DATASET/TRAIN/O/O_10096.jpg,O
DATASET/TRAIN/O/O_10097.jpg,O
DATASET/TRAIN/O/O_10098.jpg,O
DATASET/TRAIN/O/O_10099.jpg,O
DATASET/TRAIN/O/O_101.jpg,O
DATASET/TRAIN/O/O_1010.jpg,O
DATASET/TRAIN/O/O_10100.jpg,O
DATASET/TRAIN/O/O_10101.jpg,O
DATASET/TRAIN/O/O_10102.jpg,O
DATASET/TRAIN/O/O_10103.jpg,O
DATASET/TRAIN/O/O_10104.jpg,O
DATASET/TRAIN/O/O_10105.jpg,O
DATASET/TRAIN/O/O_10106.jpg,O
DATASET/TRAIN/O/O_10107.jpg,O
DATASET/TRAIN/O/O_10108.jpg,O
DATASET/TRAIN/O/O_10109.jpg,O
DATASET/TRAIN/O/O_1011.jpg,O
DATASET/TRAIN/O/O_10110.jpg,O
DATASET/TRAIN/O/O_10111.jpg,O
DATASET/TRAIN/O/O_10112.jpg,O
DATASET/TRAIN/O/O_10113.jpg,O
